irt_model,model,ability,correct,observed_total,missing_total,coverage,accuracy,ability_rank,accuracy_rank
2pl,phi4,0.4822524373215614,4216,5920,3899,0.6029127202362766,0.7121621621621622,1,1
2pl,5mini,0.4742759595687752,6833,9721,98,0.9900193502393319,0.7029112231251928,2,2
2pl,qwen257b,0.3193471856417557,5310,7813,2006,0.7957022100010185,0.6796365032637911,3,6
2pl,qwen314b,0.28248500181068115,6763,9819,0,1.0,0.6887666768510031,4,3
2pl,deepseek_r1_32b,0.28131941173528563,6733,9819,0,1.0,0.6857113759038599,5,4
2pl,deepseek_r1_14b,0.1749578809736717,6656,9819,0,1.0,0.677869436806192,6,7
2pl,baseline,0.02346501277070545,6630,9721,98,0.9900193502393319,0.6820285978808764,7,5
2pl,mistral_7b,-0.03965474541028169,6327,9819,0,1.0,0.6443629697525206,8,9
2pl,deepseek_r1_8b,-0.20493086594014254,2899,4441,5378,0.45228638354211226,0.6527809052015312,9,8
2pl,qwen330b_a3b,-0.3381873847720188,5627,8819,1000,0.8981566350952236,0.6380542011565937,10,10
2pl,llama31_8b,-0.42698708379595823,5985,9566,253,0.9742336286790916,0.6256533556345389,11,11
2pl,qwen253b,-1.0283428099040357,5816,9807,12,0.9987778796211427,0.5930457836239421,12,12
