k_factors,model,bias,factor_1,factor_2,correct,observed_total,missing_total,coverage,accuracy
2,baseline,1.79100227666448,-6.243410885978594,2.8010812300881742,6630,9721,98,0.9900193502393319,0.6820285978808764
2,5mini,2.058921716285586,-3.1397744561763865,-3.9242301771329156,6833,9721,98,0.9900193502393319,0.7029112231251928
2,deepseek_r1_14b,12.424743479788514,-40.72866242678352,-74.17952112665971,6656,9819,0,1.0,0.677869436806192
2,deepseek_r1_32b,1.381857526032961,-1.1400060203783053,-0.5418477853434001,6733,9819,0,1.0,0.6857113759038599
2,deepseek_r1_8b,0.9674601056906771,-0.5969717798009884,-1.0538952928044054,2899,4441,5378,0.45228638354211226,0.6527809052015312
2,llama31_8b,0.9231702199958769,0.3492794177171133,0.44958718110782403,5985,9566,253,0.9742336286790916,0.6256533556345389
2,mistral_7b,2.4389815307516125,-1.0395824990916405,-16.847677854347488,6327,9819,0,1.0,0.6443629697525206
2,phi4,1.757414068711129,-2.095830885069389,-1.131897094347829,4216,5920,3899,0.6029127202362766,0.7121621621621622
2,qwen253b,7.9130793365156,-91.11606447919402,18.58016470906895,5816,9807,12,0.9987778796211427,0.5930457836239421
2,qwen257b,1.70086971770908,-1.1849692683460868,-4.628224631010693,5310,7813,2006,0.7957022100010185,0.6796365032637911
2,qwen314b,1.6332090185662018,-1.5493442449499555,-3.127205867575686,6763,9819,0,1.0,0.6887666768510031
2,qwen330b_a3b,1.4841161944786276,-8.804568078107526,6.910949650121725,5627,8819,1000,0.8981566350952236,0.6380542011565937
