k_factors,model,bias,factor_1,factor_2,factor_3,correct,observed_total,missing_total,coverage,accuracy
3,baseline,10.072341968483267,23.5086685167221,-58.774453843071406,-31.087932518692988,6630,9721,98,0.9900193502393319,0.6820285978808764
3,5mini,2.2777591347206956,-2.9151862416640344,-5.574764213870673,-0.5044616207268479,6833,9721,98,0.9900193502393319,0.7029112231251928
3,deepseek_r1_14b,1.2153082639308037,-1.2259520214948676,-0.5181697550548878,-1.4765161166994354,6656,9819,0,1.0,0.677869436806192
3,deepseek_r1_32b,1.3037747309586383,0.9145003305043459,-2.471711839227093,-0.011898918700040336,6733,9819,0,1.0,0.6857113759038599
3,deepseek_r1_8b,16.599457827333783,-52.69698044167531,-60.607651608418756,-4.334633581602695,2899,4441,5378,0.45228638354211226,0.6527809052015312
3,llama31_8b,0.8875812810662537,-1.168048021065544,-2.557067626421217,4.986206727189716,5985,9566,253,0.9742336286790916,0.6256533556345389
3,mistral_7b,3.094967603737596,-26.51069514151414,3.6601555107233494,3.882249803794795,6327,9819,0,1.0,0.6443629697525206
3,phi4,3.6025328447509812,-3.973781802507672,-11.454251465455426,-0.8714472287146212,4216,5920,3899,0.6029127202362766,0.7121621621621622
3,qwen253b,1.6489717872681846,-19.054841524060972,14.4652420195881,-69.4411788676744,5816,9807,12,0.9987778796211427,0.5930457836239421
3,qwen257b,9.77978890841301,-37.52692699760195,-26.97446222800284,2.1769657363306942,5310,7813,2006,0.7957022100010185,0.6796365032637911
3,qwen314b,1.8075847241149188,-4.343255814168406,-2.609116153394734,-0.5875857456594431,6763,9819,0,1.0,0.6887666768510031
3,qwen330b_a3b,2.1006714893039153,8.93209965722953,-13.815907740480638,-7.653163224112863,5627,8819,1000,0.8981566350952236,0.6380542011565937
