model,item_key,error_type,error_message,source_file,item_id,case_id
deepseek_r1_8b,global:1000,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01001,1001
deepseek_r1_8b,global:1001,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01002,1002
deepseek_r1_8b,global:1002,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01003,1003
deepseek_r1_8b,global:1003,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01004,1004
deepseek_r1_8b,global:1004,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01005,1005
deepseek_r1_8b,global:1005,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01006,1006
deepseek_r1_8b,global:1006,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01007,1007
deepseek_r1_8b,global:1007,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01008,1008
deepseek_r1_8b,global:1008,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01009,1009
deepseek_r1_8b,global:1009,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01010,1010
deepseek_r1_8b,global:1010,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01011,1011
deepseek_r1_8b,global:1011,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01012,1012
deepseek_r1_8b,global:1012,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01013,1013
deepseek_r1_8b,global:1013,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01014,1014
deepseek_r1_8b,global:1014,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01015,1015
deepseek_r1_8b,global:1015,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01016,1016
deepseek_r1_8b,global:1016,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01017,1017
deepseek_r1_8b,global:1017,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01018,1018
deepseek_r1_8b,global:1018,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01019,1019
deepseek_r1_8b,global:1019,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01020,1020
deepseek_r1_8b,global:1020,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01021,1021
deepseek_r1_8b,global:1021,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01022,1022
deepseek_r1_8b,global:1022,APIConnectionError,Connection error.,G:\Other computers\My Computer\Research\ai\measurement\pyrecode E6\results\deepseek_r1_8b_baseline\results_deepseek_r1_8b_baseline_part_1000_1999.json,case_01023,1023
