irt_model,model,ability,correct,observed_total,missing_total,coverage,accuracy,ability_rank,accuracy_rank
2pl,baseline,0.7485220700417439,6630,9721,98,0.9900193502393319,0.6820285978808764,1,6
2pl,qwen330b_a3b_baseline,0.5444505643362596,5627,8819,1000,0.8981566350952236,0.6380542011565937,2,14
2pl,phi4_baseline,0.44323998390155595,4216,5920,3899,0.6029127202362766,0.7121621621621622,3,1
2pl,5mini,0.3844926460167837,6833,9721,98,0.9900193502393319,0.7029112231251928,4,3
2pl,deepseek_r1_32b_baseline,0.35048942999027854,6733,9819,0,1.0,0.6857113759038599,5,5
2pl,deepseek_r1_14b_baseline,0.27483325716429197,6656,9819,0,1.0,0.677869436806192,6,8
2pl,qwen314b_baseline,0.26836563462387675,6763,9819,0,1.0,0.6887666768510031,7,4
2pl,deepseek_r1_8b_baseline,0.1502178786178454,2899,4441,5378,0.45228638354211226,0.6527809052015312,8,12
2pl,qwen257b_baseline,0.1446817819621713,5310,7813,2006,0.7957022100010185,0.6796365032637911,9,7
2pl,qwen253b_baseline,0.06921696961605162,5816,9807,12,0.9987778796211427,0.5930457836239421,10,17
2pl,llama31_8b_baseline,-0.0569835898419524,5985,9566,253,0.9742336286790916,0.6256533556345389,11,15
2pl,ruleset,-0.06924956674939309,6898,9721,98,0.9900193502393319,0.7095977780063779,12,2
2pl,mistral_7b_baseline,-0.15405626803850836,6327,9819,0,1.0,0.6443629697525206,13,13
2pl,qwen314b_ruleset,-0.3197461241133899,4405,6600,3219,0.6721662083715246,0.6674242424242425,14,11
2pl,phi4_ruleset,-0.3659541781172496,6605,9819,0,1.0,0.6726754251960485,15,9
2pl,deepseek_r1_14b_ruleset,-0.37045908171830244,6050,9019,800,0.9185253080761788,0.6708060760616477,16,10
2pl,llama31_8b_ruleset,-0.8258616661161091,6013,9819,0,1.0,0.6123841531724208,17,16
2pl,qwen253b_ruleset,-1.2161997415759551,5268,9270,549,0.9440879926672777,0.568284789644013,18,18
