k_factors,model,bias,factor_1,factor_2,correct,observed_total,missing_total,coverage,accuracy
2,baseline,3.905004280346661,13.46267404017609,-15.80562926424265,6630,9721,98,0.9900193502393319,0.6820285978808764
2,5mini,1.840313079960966,5.342927718636883,-2.0750812860466885,6833,9721,98,0.9900193502393319,0.7029112231251928
2,ruleset,3.1161224366393276,10.7108380205758,4.806976102290042,6898,9721,98,0.9900193502393319,0.7095977780063779
2,deepseek_r1_14b_baseline,1.217103722119875,3.2699916063587677,-1.615768907699562,6656,9819,0,1.0,0.677869436806192
2,deepseek_r1_32b_baseline,1.4419973506119008,3.940551400035147,-2.410121431137774,6733,9819,0,1.0,0.6857113759038599
2,deepseek_r1_8b_baseline,0.8112107282368661,2.2288711287375893,-1.4804237934777604,2899,4441,5378,0.45228638354211226,0.6527809052015312
2,llama31_8b_baseline,12.501196107740533,64.54932397291678,-10.046834562748073,5985,9566,253,0.9742336286790916,0.6256533556345389
2,mistral_7b_baseline,0.7909670066191827,2.4106948382627764,1.366542919546139,6327,9819,0,1.0,0.6443629697525206
2,phi4_baseline,2.3413761880411377,7.441023900404621,-2.8054898246011297,4216,5920,3899,0.6029127202362766,0.7121621621621622
2,qwen253b_baseline,0.502194174676772,0.9893807231777196,-2.8671594790131736,5816,9807,12,0.9987778796211427,0.5930457836239421
2,qwen257b_baseline,1.3116395746015244,3.8365374828220875,-0.35473566185844274,5310,7813,2006,0.7957022100010185,0.6796365032637911
2,qwen314b_baseline,1.4390762269306656,4.10819901850731,-1.3400759144820154,6763,9819,0,1.0,0.6887666768510031
2,qwen330b_a3b_baseline,2.2475622375504485,7.365730683622816,-13.503269528119013,5627,8819,1000,0.8981566350952236,0.6380542011565937
2,deepseek_r1_14b_ruleset,2.6272400389667516,9.019292232399392,10.091803379686132,6050,9019,800,0.9185253080761788,0.6708060760616477
2,llama31_8b_ruleset,3.576193313602923,14.526517526269991,36.250004200985686,6013,9819,0,1.0,0.6123841531724208
2,phi4_ruleset,4.46321450248516,17.31372154006196,15.021676501659506,6605,9819,0,1.0,0.6726754251960485
2,qwen253b_ruleset,1.1767751247224663,4.113349044873855,20.291118923533386,5268,9270,549,0.9440879926672777,0.568284789644013
2,qwen314b_ruleset,2.841452077411414,10.07898976031013,9.404219994378373,4405,6600,3219,0.6721662083715246,0.6674242424242425
